method,query,repetition,latency_ms,top_k,corpus_size
BM25-only,What are the first aid measures for skin contact?,1,0.5991,5,23
BM25-only,What is the flash point of this substance?,1,0.5875,5,23
BM25-only,What storage conditions are required?,1,0.5323,5,23
BM25-only,What personal protective equipment is needed?,1,0.5272,5,23
BM25-only,What hazard classifications apply to this material?,1,0.5633,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,1,10.6562,5,23
Hybrid (RRF),What is the flash point of this substance?,1,9.7219,5,23
Hybrid (RRF),What storage conditions are required?,1,10.7323,5,23
Hybrid (RRF),What personal protective equipment is needed?,1,10.8355,5,23
Hybrid (RRF),What hazard classifications apply to this material?,1,10.9361,5,23
Vector-only,What are the first aid measures for skin contact?,1,9.5835,5,23
Vector-only,What is the flash point of this substance?,1,11.0818,5,23
Vector-only,What storage conditions are required?,1,9.852,5,23
Vector-only,What personal protective equipment is needed?,1,12.9649,5,23
Vector-only,What hazard classifications apply to this material?,1,13.5354,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,2,9.9632,5,23
Hybrid (RRF),What is the flash point of this substance?,2,12.8139,5,23
Hybrid (RRF),What storage conditions are required?,2,12.2905,5,23
Hybrid (RRF),What personal protective equipment is needed?,2,11.7632,5,23
Hybrid (RRF),What hazard classifications apply to this material?,2,10.5276,5,23
BM25-only,What are the first aid measures for skin contact?,2,0.9184,5,23
BM25-only,What is the flash point of this substance?,2,0.8999,5,23
BM25-only,What storage conditions are required?,2,0.8331,5,23
BM25-only,What personal protective equipment is needed?,2,0.826,5,23
BM25-only,What hazard classifications apply to this material?,2,0.8655,5,23
Vector-only,What are the first aid measures for skin contact?,2,11.7631,5,23
Vector-only,What is the flash point of this substance?,2,10.5988,5,23
Vector-only,What storage conditions are required?,2,10.1025,5,23
Vector-only,What personal protective equipment is needed?,2,10.1901,5,23
Vector-only,What hazard classifications apply to this material?,2,10.5012,5,23
Vector-only,What are the first aid measures for skin contact?,3,12.5577,5,23
Vector-only,What is the flash point of this substance?,3,11.8646,5,23
Vector-only,What storage conditions are required?,3,10.7707,5,23
Vector-only,What personal protective equipment is needed?,3,10.3426,5,23
Vector-only,What hazard classifications apply to this material?,3,10.2085,5,23
Hybrid (RRF),What are the first aid measures for skin contact?,3,12.3823,5,23
Hybrid (RRF),What is the flash point of this substance?,3,10.3533,5,23
Hybrid (RRF),What storage conditions are required?,3,10.5038,5,23
